store_id,sales_date,region_name,units_sold,revenue_usd,returns_units
STORE-001,2026-08-01,Northgate,412,1180,96
STORE-002,2026-08-01,Northgate,388,1042,88
STORE-003,2026-08-01,Lakeside,517,1435,131
STORE-004,2026-08-01,Lakeside,290,802,74
STORE-005,2026-08-01,Riverton,634,1790,158
STORE-001,2026-08-01,Northgate,412,1180,96
STORE-001,2026-08-01,Northgate,418,1180,96
STORE-001,2026-08-02,Northgate,405,1163,94
STORE-002,2026-08-02,Northgate,391,1055,90
STORE-003,2026-08-02,Lakeside,522,1448,133
STORE-004,2026-08-02,Lakeside,285,795,72
STORE-004,2026-08-02,Lakeside,285,795,72
STORE-004,2026-08-02,Lakeside,285,795,71
STORE-005,2026-08-02,Riverton,629,1776,155
